Key,Value,Category,Comment,Group
shop,convenience,Shop,A small local shop carrying a small subset of the items you would find in a supermarket,
shop,supermarket,Shop,Supermarket – a large store with groceries and other items,
shop,alcohol,Food_beverage,Shop selling alcohol to take away,
shop,bakery,Food_beverage,Shop focused on selling bread,
shop,beverages,Food_beverage,Shop focused on selling alcoholic and non-alcoholic beverages. See also shop=alcohol.,
shop,brewing_supplies,Food_beverage,"Shop focused on selling supplies for home brewing of beer, wine and spirits (where permitted).",
shop,butcher,Food_beverage,Shop focused on selling meat,
shop,cheese,Food_beverage,Shop focused on selling cheese.,
shop,chocolate,Food_beverage,Shop focused on selling chocolate.,
shop,coffee,Food_beverage,Shop focused on selling coffee.,
shop,confectionery,Food_beverage,Shop focused on selling sweets or candy,
shop,convenience,Food_beverage,A small local shop carrying a small subset of the items you would find in a supermarket,
shop,deli,Food_beverage,"Shop focused on selling delicatessen (fine foods, gourmet foods), possibly also fine wine. Not to be confused with the US delis.",
shop,dairy,Food_beverage,Shop focused on selling dairy products.,
shop,farm,Food_beverage,Shop or roadside stand focused on selling freshly harvested farm produce,
shop,frozen_food,Food_beverage,Shop focused on selling frozen food.,
shop,greengrocer,Food_beverage,Shop focused on selling vegetables and fruits.,
shop,health_food,Food_beverage,"A health food shop; selling wholefoods, vitamins, nutrition supplements and meat and dairy alternatives.",
shop,ice_cream,Food_beverage,Shop selling ice cream. See also amenity=ice_cream.,
shop,organic,Food_beverage,Shop focused on selling organic food. Alternatively you can use the more versatile organic=* in combination with a general shop=* key (In this case: shop=supermarket or shop=convenience).,
shop,pasta,Food_beverage,"Shop focused on selling (fresh) pasta, ravioli, etc.",
shop,pastry,Food_beverage,"Shop focused on selling baked sweets like cakes, biscuits, strudel and pies.",
shop,seafood,Food_beverage,Shop focused on selling fish/seafood.,
shop,spices,Food_beverage,Shop focused on selling spices.,
shop,tea,Food_beverage,Shop focused on selling tea.,
shop,wine,Food_beverage,Shop selling wine.,
shop,water,Food_beverage,Shop focused on selling drinking water.,
shop,department_store,Store,A single large store – often multiple storeys high – selling a large variety of goods (see also shop=mall),
shop,general,Store,A store that carries a general line of merchandise. (see also shop=convenience if it sells food).,
shop,kiosk,Store,"A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.",
shop,mall,Store,A shopping mall – multiple stores under one roof (also known as a shopping centre),
shop,supermarket,Store,Supermarket – a large store with groceries and other items,
shop,wholesale,Store,Wholesale/warehouse club or cash and carry - a store that sells items in bulk to retailers. The branch of industry can be defined with wholesale=*.,
shop,baby_goods,Clothing,"Shop focused on selling objects for babies (clothes, prams, cots, toys).",
shop,bag,Clothing,Shop focused on selling bags.,
shop,boutique,Clothing,"A small shopping outlet, especially one that specializes in elite and fashionable items",
shop,clothes,Clothing,Shop focused on selling clothes and/or underwear (other related value in use is fashion),
shop,fabric,Clothing,"Shop focused on selling fabric and other materials for the purpose of making clothes and other products, eg dress making.",
shop,fashion,Clothing,"Shop focused on selling fashion. This is deprecated, please use clothes.",
shop,fashion_accessories,Clothing,Shop focused on selling fashion accessories.,
shop,jewelry,Clothing,Jewellers shops.,
shop,leather,Clothing,Shop focused on selling products made out of leather.,
shop,sewing,Clothing,"A shop that sells sewing supplies (fabric, thread, yarn, knitting needles, sewing machines, etc.)",
shop,shoes,Clothing,Shop focused on selling shoes.,
shop,tailor,Clothing,"A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing",
shop,watches,Clothing,Shop focused on selling watches.,
